Country,Species,Value
Latvia,Birds,233
Latvia,Reptiles,7
Latvia,Amphibians,13
Latvia,Fish,87
Latvia,Marine Fish,42
Latvia,Freshwater Fish,45
Latvia,Vascular plants,1937
Latvia,Mosses,560
Latvia,Lichens,687
Latvia,Invertebrates,17100
Lithuania,Mammals,68
Lithuania,Birds,389
Lithuania,Reptiles,7
Lithuania,Amphibians,13
Lithuania,Fish,105
Lithuania,Marine Fish,51
Lithuania,Freshwater Fish,54
Lithuania,Vascular plants,1334
Lithuania,Mosses,470
Lithuania,Lichens,250
Lithuania,Invertebrates,25000
Luxembourg,Mammals,
Luxembourg,Birds,131
Luxembourg,Reptiles,6
Luxembourg,Amphibians,14
Luxembourg,Fish,43
Luxembourg,Marine Fish,
Luxembourg,Freshwater Fish,43
Luxembourg,Vascular plants,1323
Luxembourg,Mosses,
Luxembourg,Lichens,
Luxembourg,Invertebrates,149
Mexico,Mammals,564
Mexico,Birds,1117
Mexico,Reptiles,953
Mexico,Amphibians,413
Mexico,Fish,2763
Mexico,Marine Fish,2224
Mexico,Freshwater Fish,505
Mexico,Vascular plants,23296
Mexico,Mosses,1000
Mexico,Lichens,
Mexico,Invertebrates,
Netherlands,Mammals,53
Netherlands,Birds,168
Netherlands,Reptiles,7
Netherlands,Amphibians,16
Netherlands,Fish,97
Netherlands,Marine Fish,57
Netherlands,Freshwater Fish,40
Netherlands,Vascular plants,1395
Netherlands,Mosses,517
Netherlands,Lichens,683
Netherlands,Invertebrates,507
New Zealand,Mammals,50
New Zealand,Birds,262
New Zealand,Reptiles,125
New Zealand,Amphibians,8
New Zealand,Fish,1262
New Zealand,Marine Fish,1187
New Zealand,Freshwater Fish,75
New Zealand,Vascular plants,4469
New Zealand,Mosses,1362
New Zealand,Lichens,2026
New Zealand,Invertebrates,5747
Norway,Mammals,71
Norway,Birds,234
Norway,Reptiles,5
Norway,Amphibians,6
Norway,Fish,205
Norway,Marine Fish,173
Norway,Freshwater Fish,32
Norway,Vascular plants,1376
Norway,Mosses,1099
Norway,Lichens,1402
Norway,Invertebrates,15266
Poland,Mammals,112
Poland,Birds,456
Poland,Reptiles,12
