Country,Species,Value
Mexico,Fish,76
Mexico,Marine Fish,2
Mexico,Freshwater Fish,66
Mexico,Vascular plants,348
Mexico,Mosses,2
Mexico,Lichens,
Mexico,Invertebrates,26
Netherlands,Mammals,8
Netherlands,Birds,19
Netherlands,Reptiles,4
Netherlands,Amphibians,3
Netherlands,Fish,14
Netherlands,Marine Fish,4
Netherlands,Freshwater Fish,10
Netherlands,Vascular plants,168
Netherlands,Mosses,43
Netherlands,Lichens,65
Netherlands,Invertebrates,51
New Zealand,Mammals,
New Zealand,Birds,
New Zealand,Reptiles,
New Zealand,Amphibians,
New Zealand,Fish,
New Zealand,Marine Fish,
New Zealand,Freshwater Fish,
New Zealand,Vascular plants,
New Zealand,Mosses,2
New Zealand,Lichens,8
New Zealand,Invertebrates,71
Norway,Mammals,6
Norway,Birds,33
Norway,Reptiles,
Norway,Amphibians,1
Norway,Fish,4
Norway,Marine Fish,3
Norway,Freshwater Fish,1
Norway,Vascular plants,131
Norway,Mosses,124
Norway,Lichens,123
Norway,Invertebrates,785
Poland,Mammals,1
Poland,Birds,10
Poland,Reptiles,1
Poland,Amphibians,
Poland,Fish,14
Poland,Marine Fish,1
Poland,Freshwater Fish,12
Poland,Vascular plants,204
Poland,Mosses,31
Poland,Lichens,165
Poland,Invertebrates,571
Portugal,Mammals,13
Portugal,Birds,61
Portugal,Reptiles,6
Portugal,Amphibians,2
Portugal,Fish,4
Portugal,Marine Fish,
Portugal,Freshwater Fish,
Portugal,Vascular plants,
Portugal,Mosses,
Portugal,Lichens,
Portugal,Invertebrates,
Slovak Republic,Mammals,12
Slovak Republic,Birds,17
Slovak Republic,Reptiles,4
Slovak Republic,Amphibians,5
Slovak Republic,Fish,6
Slovak Republic,Marine Fish,
Slovak Republic,Freshwater Fish,6
Slovak Republic,Vascular plants,201
Slovak Republic,Mosses,190
Slovak Republic,Lichens,169
Slovak Republic,Invertebrates,1036
Slovenia,Mammals,15
Slovenia,Birds,45
Slovenia,Reptiles,11
Slovenia,Amphibians,14
Slovenia,Fish,10
Slovenia,Marine Fish,1
Slovenia,Freshwater Fish,9
Slovenia,Vascular plants,254
Slovenia,Mosses,
Slovenia,Lichens,
Slovenia,Invertebrates,
Spain,Mammals,18
Spain,Birds,36
Spain,Reptiles,10
Spain,Amphibians,6
Spain,Fish,24
Spain,Marine Fish,5
Spain,Freshwater Fish,19
Spain,Vascular plants,523
Spain,Mosses,22
Spain,Lichens,
Spain,Invertebrates,164
Sweden,Mammals,4
Sweden,Birds,28
Sweden,Reptiles,2
Sweden,Amphibians,3
Sweden,Fish,8
Sweden,Marine Fish,6
Sweden,Freshwater Fish,1
Sweden,Vascular plants,139
Sweden,Mosses,87
Sweden,Lichens,85
Sweden,Invertebrates,695
Switzerland,Mammals,16
Switzerland,Birds,42
Switzerland,Reptiles,2
Switzerland,Amphibians,8
Switzerland,Fish,11
Switzerland,Marine Fish,
Switzerland,Freshwater Fish,11
Switzerland,Vascular plants,362
Switzerland,Mosses,164
Switzerland,Lichens,116
Switzerland,Invertebrates,487
Türkiye,Mammals,15
Türkiye,Birds,36
Türkiye,Reptiles,5
Türkiye,Amphibians,4
Türkiye,Fish,27
Türkiye,Marine Fish,
Türkiye,Freshwater Fish,27
Türkiye,Vascular plants,56
Türkiye,Mosses,
Türkiye,Lichens,
Türkiye,Invertebrates,
United Kingdom,Mammals,5
United Kingdom,Birds,47
United Kingdom,Reptiles,
United Kingdom,Amphibians,
United Kingdom,Fish,
United Kingdom,Marine Fish,
United Kingdom,Freshwater Fish,3
United Kingdom,Vascular plants,229
United Kingdom,Mosses,52
United Kingdom,Lichens,111
United Kingdom,Invertebrates,272
Brazil,Mammals,55
Brazil,Birds,120
Brazil,Reptiles,20
Brazil,Amphibians,11
Brazil,Fish,148
Brazil,Marine Fish,50
Brazil,Freshwater Fish,98
Brazil,Vascular plants,
Brazil,Mosses,
Brazil,Lichens,
Brazil,Invertebrates,94
